,State County FIPS,Postal Code,Name,Median Household Income,Year
385,"13 , 1",GA,Appling County,30517,2003
386,"13 , 3",GA,Atkinson County,26311,2003
387,"13 , 5",GA,Bacon County,27902,2003
388,"13 , 7",GA,Baker County,26624,2003
389,"13 , 9",GA,Baldwin County,32935,2003
390,"13 , 11",GA,Banks County,40070,2003
391,"13 , 13",GA,Barrow County,46048,2003
392,"13 , 15",GA,Bartow County,46097,2003
393,"13 , 17",GA,Ben Hill County,27508,2003
394,"13 , 19",GA,Berrien County,31106,2003
395,"13 , 21",GA,Bibb County,35252,2003
396,"13 , 23",GA,Bleckley County,35280,2003
397,"13 , 25",GA,Brantley County,32686,2003
398,"13 , 27",GA,Brooks County,26333,2003
399,"13 , 29",GA,Bryan County,51620,2003
400,"13 , 31",GA,Bulloch County,29907,2003
401,"13 , 33",GA,Burke County,28911,2003
402,"13 , 35",GA,Butts County,39076,2003
403,"13 , 37",GA,Calhoun County,24695,2003
404,"13 , 39",GA,Camden County,43164,2003
405,"13 , 43",GA,Candler County,26298,2003
406,"13 , 45",GA,Carroll County,41071,2003
407,"13 , 47",GA,Catoosa County,42024,2003
408,"13 , 49",GA,Charlton County,28218,2003
409,"13 , 51",GA,Chatham County,36775,2003
410,"13 , 53",GA,Chattahoochee County,35698,2003
411,"13 , 55",GA,Chattooga County,30738,2003
412,"13 , 57",GA,Cherokee County,63707,2003
413,"13 , 59",GA,Clarke County,29634,2003
414,"13 , 61",GA,Clay County,23380,2003
415,"13 , 63",GA,Clayton County,39535,2003
416,"13 , 65",GA,Clinch County,26551,2003
417,"13 , 67",GA,Cobb County,53000,2003
418,"13 , 69",GA,Coffee County,29478,2003
419,"13 , 71",GA,Colquitt County,27694,2003
420,"13 , 73",GA,Columbia County,59190,2003
421,"13 , 75",GA,Cook County,27668,2003
422,"13 , 77",GA,Coweta County,54055,2003
423,"13 , 79",GA,Crawford County,38342,2003
424,"13 , 81",GA,Crisp County,26311,2003
425,"13 , 83",GA,Dade County,35422,2003
426,"13 , 85",GA,Dawson County,49972,2003
427,"13 , 87",GA,Decatur County,27913,2003
428,"13 , 89",GA,DeKalb County,45123,2003
429,"13 , 91",GA,Dodge County,27857,2003
430,"13 , 93",GA,Dooly County,28123,2003
431,"13 , 95",GA,Dougherty County,30186,2003
432,"13 , 97",GA,Douglas County,49209,2003
433,"13 , 99",GA,Early County,26234,2003
434,"13 , 101",GA,Echols County,26541,2003
435,"13 , 103",GA,Effingham County,49519,2003
436,"13 , 105",GA,Elbert County,29861,2003
437,"13 , 107",GA,Emanuel County,25496,2003
438,"13 , 109",GA,Evans County,27359,2003
439,"13 , 111",GA,Fannin County,31795,2003
440,"13 , 113",GA,Fayette County,74418,2003
441,"13 , 115",GA,Floyd County,34816,2003
442,"13 , 117",GA,Forsyth County,73125,2003
443,"13 , 119",GA,Franklin County,33276,2003
444,"13 , 121",GA,Fulton County,45896,2003
445,"13 , 123",GA,Gilmer County,35360,2003
446,"13 , 125",GA,Glascock County,30947,2003
447,"13 , 127",GA,Glynn County,38742,2003
448,"13 , 129",GA,Gordon County,39497,2003
449,"13 , 131",GA,Grady County,29344,2003
450,"13 , 133",GA,Greene County,33517,2003
451,"13 , 135",GA,Gwinnett County,56717,2003
452,"13 , 137",GA,Habersham County,36926,2003
453,"13 , 139",GA,Hall County,44394,2003
454,"13 , 141",GA,Hancock County,23561,2003
455,"13 , 143",GA,Haralson County,33228,2003
456,"13 , 145",GA,Harris County,50960,2003
457,"13 , 147",GA,Hart County,32766,2003
458,"13 , 149",GA,Heard County,32855,2003
459,"13 , 151",GA,Henry County,61098,2003
460,"13 , 153",GA,Houston County,46317,2003
461,"13 , 155",GA,Irwin County,29877,2003
462,"13 , 157",GA,Jackson County,41562,2003
463,"13 , 159",GA,Jasper County,39651,2003
464,"13 , 161",GA,Jeff Davis County,28770,2003
465,"13 , 163",GA,Jefferson County,27117,2003
466,"13 , 165",GA,Jenkins County,24260,2003
467,"13 , 167",GA,Johnson County,24318,2003
468,"13 , 169",GA,Jones County,43712,2003
469,"13 , 171",GA,Lamar County,36305,2003
470,"13 , 173",GA,Lanier County,29039,2003
471,"13 , 175",GA,Laurens County,32280,2003
472,"13 , 177",GA,Lee County,48764,2003
473,"13 , 179",GA,Liberty County,34019,2003
474,"13 , 181",GA,Lincoln County,31292,2003
475,"13 , 183",GA,Long County,29290,2003
476,"13 , 185",GA,Lowndes County,32743,2003
477,"13 , 187",GA,Lumpkin County,39529,2003
478,"13 , 189",GA,McDuffie County,32740,2003
479,"13 , 191",GA,McIntosh County,29912,2003
480,"13 , 193",GA,Macon County,23505,2003
481,"13 , 195",GA,Madison County,37330,2003
482,"13 , 197",GA,Marion County,29239,2003
483,"13 , 199",GA,Meriwether County,30928,2003
484,"13 , 201",GA,Miller County,27102,2003
485,"13 , 205",GA,Mitchell County,25395,2003
486,"13 , 207",GA,Monroe County,43082,2003
487,"13 , 209",GA,Montgomery County,30153,2003
488,"13 , 211",GA,Morgan County,40813,2003
489,"13 , 213",GA,Murray County,36979,2003
490,"13 , 215",GA,Muscogee County,34393,2003
491,"13 , 217",GA,Newton County,46035,2003
492,"13 , 219",GA,Oconee County,57927,2003
493,"13 , 221",GA,Oglethorpe County,36808,2003
494,"13 , 223",GA,Paulding County,57058,2003
495,"13 , 225",GA,Peach County,33581,2003
496,"13 , 227",GA,Pickens County,44966,2003
497,"13 , 229",GA,Pierce County,31893,2003
498,"13 , 231",GA,Pike County,46319,2003
499,"13 , 233",GA,Polk County,33359,2003
500,"13 , 235",GA,Pulaski County,31385,2003
501,"13 , 237",GA,Putnam County,35858,2003
502,"13 , 239",GA,Quitman County,25873,2003
503,"13 , 241",GA,Rabun County,34065,2003
504,"13 , 243",GA,Randolph County,22997,2003
505,"13 , 245",GA,Richmond County,32170,2003
506,"13 , 247",GA,Rockdale County,50621,2003
507,"13 , 249",GA,Schley County,31990,2003
508,"13 , 251",GA,Screven County,28726,2003
509,"13 , 253",GA,Seminole County,27397,2003
510,"13 , 255",GA,Spalding County,35295,2003
511,"13 , 257",GA,Stephens County,31063,2003
512,"13 , 259",GA,Stewart County,23856,2003
513,"13 , 261",GA,Sumter County,29750,2003
514,"13 , 263",GA,Talbot County,28455,2003
515,"13 , 265",GA,Taliaferro County,23292,2003
516,"13 , 267",GA,Tattnall County,27502,2003
517,"13 , 269",GA,Taylor County,26457,2003
518,"13 , 271",GA,Telfair County,24882,2003
519,"13 , 273",GA,Terrell County,26863,2003
520,"13 , 275",GA,Thomas County,30929,2003
521,"13 , 277",GA,Tift County,31649,2003
522,"13 , 279",GA,Toombs County,27235,2003
523,"13 , 281",GA,Towns County,33252,2003
524,"13 , 283",GA,Treutlen County,24912,2003
525,"13 , 285",GA,Troup County,35966,2003
526,"13 , 287",GA,Turner County,26291,2003
527,"13 , 289",GA,Twiggs County,31652,2003
528,"13 , 291",GA,Union County,33246,2003
529,"13 , 293",GA,Upson County,30001,2003
530,"13 , 295",GA,Walker County,33258,2003
531,"13 , 297",GA,Walton County,47130,2003
532,"13 , 299",GA,Ware County,28557,2003
533,"13 , 301",GA,Warren County,27826,2003
